Protein IDs	protein names	Gene names SINGLE	ENSG	ENSP	logP	q-value
Q02161;E7EVW1;H3BT10;Q02161-3;Q02161-2;Q02161-6;Q02161-5;Q02161-4	Blood group Rh(D) polypeptide	RHD	ENSG00000187010	ENSP00000331871;ENSP00000339577;ENSP00000350150;ENSP00000396420;ENSP00000399640;ENSP00000413849;ENSP00000456966;ENSP00000478087;ENSP00000480925	2.613102811	0.010008953
Q04656-5;Q04656;Q04656-2;Q04656-3;Q04656-4	Copper-transporting ATPase 1	ATP7A	ENSG00000165240	ENSP00000343026;ENSP00000343678;ENSP00000345728	8.902819389	1.52E-07
Q05209;Q05209-2;Q05209-3;H3BM04;H0YC15;F8WB51;H0YB59;C9J1X8	Tyrosine-protein phosphatase non-receptor type 12	PTPN12	ENSG00000127947	ENSP00000248594;ENSP00000385079;ENSP00000392429;ENSP00000392526;ENSP00000397364;ENSP00000397991;ENSP00000404050;ENSP00000413449;ENSP00000428735;ENSP00000430726	0.27756451	0.651117065
Q06124-2;Q06124;Q06124-3;A0A1W2PPU4	Tyrosine-protein phosphatase non-receptor type 11	PTPN11	ENSG00000179295	ENSP00000340944;ENSP00000376376;ENSP00000437013	5.805548484	2.84E-05
Q07021;I3L3Q7;I3L3B0	Complement component 1 Q subcomponent-binding protein, mitochondrial	C1QBP	ENSG00000108561	ENSP00000225698;ENSP00000460308;ENSP00000460638	3.135869765	0.003772815
Q5QP56;Q9H1R6;Q5TE64;Q07817-3;Q07817	Bcl-2-like protein 1	BCL2L1	ENSG00000171552	ENSP00000302564;ENSP00000365223;ENSP00000365230;ENSP00000389688;ENSP00000390760;ENSP00000395545;ENSP00000401173;ENSP00000406203;ENSP00000411252	2.378305324	0.015584604
Q08495;Q08495-4;E5RGQ0;E5RFK4;E5RJC0;E5RGQ7;E5RJ61;A0A087WT94;E5RFK6;A0A087WUC0	Dematin	DMTN	ENSG00000158856	ENSP00000265800;ENSP00000350977;ENSP00000370879;ENSP00000397904;ENSP00000401291;ENSP00000416111;ENSP00000427866;ENSP00000428063;ENSP00000428415;ENSP00000428733;ENSP00000429116;ENSP00000429234;ENSP00000429377;ENSP00000429948;ENSP00000430382;ENSP00000430600;ENSP00000430609;ENSP00000430618;ENSP00000477684;ENSP00000478536	2.769582995	0.007352666
Q08495-2;Q08495-3	Dematin	DMTN			2.55373724	0.011172343
Q12907;D6RBV2;D6RDX1;D6RIU4;D6RBH1	Vesicular integral-membrane protein VIP36	LMAN2	ENSG00000169223	ENSP00000303366;ENSP00000423998;ENSP00000424132;ENSP00000425229;ENSP00000427377	2.870394001	0.006044911
Q12931;Q12931-2;I3L239;I3L0K7	Heat shock protein 75 kDa, mitochondrial	TRAP1	ENSG00000126602	ENSP00000246957;ENSP00000442070;ENSP00000458166;ENSP00000458244;ENSP00000459354;ENSP00000459385;ENSP00000459585;ENSP00000460545;ENSP00000461354;ENSP00000461618	4.012622659	0.000762429
Q13011;M0R248;M0QZW4;M0R076;M0QYT0	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial	ECH1	ENSG00000104823;ENSG00000268083	ENSP00000221418;ENSP00000469354;ENSP00000470519;ENSP00000470809;ENSP00000470839;ENSP00000471738;ENSP00000472322;ENSP00000472378;ENSP00000470059;ENSP00000471066	3.855413477	0.001004098
Q13043;F5H5B4;Q13043-2;A0A087WVN8;Q13188;Q13188-2	Serine/threonine-protein kinase 4;Serine/threonine-protein kinase 4 37kDa subunit;Serine/threonine-protein kinase 4 18kDa subunit	STK4	ENSG00000104375;ENSG00000101109	ENSP00000390500;ENSP00000428014;ENSP00000428167;ENSP00000429369;ENSP00000429744;ENSP00000482260;ENSP00000361887;ENSP00000361892;ENSP00000443514;ENSP00000479564;ENSP00000482076	0.589029094	0.39554524
Q13045-2;Q13045-3;Q13045;J3KS54;J3QQQ2;K7EP37;K7EP27	Protein flightless-1 homolog	FLII	ENSG00000177731	ENSP00000324573;ENSP00000438536;ENSP00000462293;ENSP00000462314;ENSP00000462797;ENSP00000463534;ENSP00000463675;ENSP00000463838;ENSP00000463902;ENSP00000465202;ENSP00000467199;ENSP00000467212;ENSP00000468045;ENSP00000486754	2.364029646	0.016016103
Q13158	FAS-associated death domain protein	FADD	ENSG00000168040	ENSP00000301838	0.200666601	0.73965349
Q13162;H7C3T4;A6NJJ0;A6NG45	Peroxiredoxin-4	PRDX4	ENSG00000123131	ENSP00000368635;ENSP00000368646;ENSP00000368654;ENSP00000413736	7.358496452	1.90E-06
Q13200;Q13200-3;Q13200-2;H7C1H2;C9JPC0;H7C2Q3	26S proteasome non-ATPase regulatory subunit 2	PSMD2	ENSG00000175166	ENSP00000310129;ENSP00000400330;ENSP00000402618;ENSP00000407259;ENSP00000411494;ENSP00000414061;ENSP00000416028	3.049870455	0.004391929
X6R9L0;Q13217	DnaJ homolog subfamily C member 3	DNAJC3	ENSG00000102580	ENSP00000365991;ENSP00000473631	3.454249156	0.002125662
Q13336-2;Q13336;K7ELI3;K7EQM7;E9NSU1;K7EKN6;M0QYS8;F5GWS2;B3KXJ3;B4DFJ8;K7ESL3;M0QX00;K7EJF6	Urea transporter 1	SLC14A1	ENSG00000141469	ENSP00000318546;ENSP00000385320;ENSP00000390637;ENSP00000412309;ENSP00000441998;ENSP00000442180;ENSP00000465029;ENSP00000465044;ENSP00000465150;ENSP00000465702;ENSP00000466093;ENSP00000466273;ENSP00000467898;ENSP00000468763;ENSP00000470055;ENSP00000470476;ENSP00000479595	3.022107065	0.004610912
Q13362-4;H0YN58;H0YN84;G3V292;H0YK26;H0YJ49;H7C5Q9;H0Y8C4;H0YJ75;E9PFR3;Q13362-2;Q13362-3;Q14738-3;Q13362;Q13362-5;Q14738-2;Q14738	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform	PPP2R5C	ENSG00000112640;ENSG00000078304	ENSP00000230402;ENSP00000377669;ENSP00000417963;ENSP00000419756;ENSP00000420529;ENSP00000420550;ENSP00000420674;ENSP00000262239;ENSP00000329009;ENSP00000333905;ENSP00000408389;ENSP00000412324;ENSP00000450525;ENSP00000450626;ENSP00000450743;ENSP00000450816;ENSP00000450867;ENSP00000450931;ENSP00000451179;ENSP00000452124;ENSP00000452500;ENSP00000452533;ENSP00000452630;ENSP00000452632;ENSP00000453875;ENSP00000453906;ENSP00000454035;ENSP00000454124	0.733994657	0.31225041
Q13393-2;Q13393;F8WBV7;C9IY79;Q13393-3;Q13393-4	Phospholipase D1	PLD1	ENSG00000075651	ENSP00000328422;ENSP00000342793;ENSP00000348681;ENSP00000391164;ENSP00000395556;ENSP00000400639;ENSP00000486967	0.040675354	0.950797675
Q13423;E9PCX7;D6RHU2;D6RAI5	NAD(P) transhydrogenase, mitochondrial	NNT	ENSG00000112992	ENSP00000264663;ENSP00000343873;ENSP00000421674;ENSP00000421886;ENSP00000424782;ENSP00000425542;ENSP00000426343;ENSP00000427670	4.109234979	0.00063216
Q13488-2	V-type proton ATPase 116 kDa subunit a isoform 3	TCIRG1			3.13220437	0.003794044
Q13546-2;Q13546	Receptor-interacting serine/threonine-protein kinase 1	RIPK1	ENSG00000137275	ENSP00000259808;ENSP00000369773	1.136811836	0.152224258
Q13561;Q13561-3;Q13561-2;H0YI98;F8W1I6;H0YHL1;F8VX93;F8VRV7;F8VW18	Dynactin subunit 2	DCTN2	ENSG00000175203	ENSP00000408910;ENSP00000439376;ENSP00000446964;ENSP00000447308;ENSP00000447553;ENSP00000447824;ENSP00000448606;ENSP00000448937;ENSP00000449710;ENSP00000449855	2.234487665	0.020567077
Q13637	Ras-related protein Rab-32	RAB32	ENSG00000118508	ENSP00000356465	2.789897977	0.00706701
Q5JXI8;Q13642-1;Q13642-5;Q13642-4;A0A0D9SFI6;A0A0D9SFB0;Q5JXH9;A0A0D9SFZ9;Q5JXH8;Q5JXH7;Q5JXI3;Q5JXI2;Q13642-3;Q13642;A0A0D9SG53;A0A0D9SGB2;Q5JXI0;A0A0D9SGD1	Four and a half LIM domains protein 1	FHL1	ENSG00000022267	ENSP00000071281;ENSP00000359708;ENSP00000359710;ENSP00000359717;ENSP00000359724;ENSP00000377709;ENSP00000377710;ENSP00000389920;ENSP00000391779;ENSP00000408038;ENSP00000412642;ENSP00000413798;ENSP00000414604;ENSP00000437673;ENSP00000443333;ENSP00000444815;ENSP00000477609;ENSP00000485897;ENSP00000486134;ENSP00000486436;ENSP00000486439;ENSP00000486631;ENSP00000486782;ENSP00000487030;ENSP00000487147;ENSP00000487318;ENSP00000487360;ENSP00000487377	5.250484871	7.75E-05
Q13885;Q9BVA1	Tubulin beta-2A chain;Tubulin beta-2B chain	TUBB2A	ENSG00000137267;ENSG00000137285	ENSP00000369703;ENSP00000259818	3.060139291	0.004349211
Q13976-3;A0A0A0MSB3;Q13976;Q13976-2	cGMP-dependent protein kinase 1	PRKG1	ENSG00000185532	ENSP00000363086;ENSP00000363087;ENSP00000363092;ENSP00000363097;ENSP00000384200	1.971519239	0.03346683
Q14012;C9JES6;H7C071	Calcium/calmodulin-dependent protein kinase type 1	CAMK1	ENSG00000134072	ENSP00000256460;ENSP00000380447;ENSP00000393238;ENSP00000404587	1.792660412	0.046444304
Q14152-2;Q14152	Eukaryotic translation initiation factor 3 subunit A	EIF3A	ENSG00000107581	ENSP00000358140;ENSP00000438178	0.777352392	0.289579794
Q14165	Malectin	MLEC	ENSG00000110917	ENSP00000228506;ENSP00000438950;ENSP00000440746;ENSP00000441247	0.761923095	0.297222023
Q14204	Cytoplasmic dynein 1 heavy chain 1	DYNC1H1	ENSG00000197102	ENSP00000348965;ENSP00000450674	3.164752432	0.003560324
Q14289-2;Q14289;E9PEI4;H0YB16;H0YBZ1;H0YBP1;E7ESA6;Q05397-4;Q05397-3;Q05397-2;Q05397-7;Q05397;Q05397-5	Protein-tyrosine kinase 2-beta	PTK2B	ENSG00000169398;ENSG00000120899	ENSP00000341189;ENSP00000378644;ENSP00000403416;ENSP00000427762;ENSP00000427774;ENSP00000427795;ENSP00000427825;ENSP00000427904;ENSP00000427972;ENSP00000428232;ENSP00000428380;ENSP00000428482;ENSP00000428492;ENSP00000428570;ENSP00000428593;ENSP00000428792;ENSP00000429001;ENSP00000429023;ENSP00000429028;ENSP00000429082;ENSP00000429129;ENSP00000429170;ENSP00000429409;ENSP00000429437;ENSP00000429474;ENSP00000429530;ENSP00000429702;ENSP00000429895;ENSP00000429907;ENSP00000429911;ENSP00000429929;ENSP00000429958;ENSP00000430037;ENSP00000430044;ENSP00000430277;ENSP00000430603;ENSP00000430828;ENSP00000430916;ENSP00000430951;ENSP00000431106;ENSP00000332816;ENSP00000380634;ENSP00000380638;ENSP00000391995;ENSP00000416174;ENSP00000427931;ENSP00000428271;ENSP00000428837;ENSP00000429694;ENSP00000430404	0.627886581	0.372366742
Q14315-2;Q14315	Filamin-C	FLNC	ENSG00000128591	ENSP00000327145;ENSP00000344002	0.237668861	0.697840161
Q14392;C9JYU3	Leucine-rich repeat-containing protein 32	LRRC32	ENSG00000137507	ENSP00000260061;ENSP00000384126;ENSP00000385766;ENSP00000413331	2.9269558	0.005454526
Q14558;Q14558-2;B4DP31;C9J168;C9JNQ3;C9JUN4;C9JKT9	Phosphoribosyl pyrophosphate synthase-associated protein 1	PRPSAP1	ENSG00000161542	ENSP00000314973;ENSP00000387494;ENSP00000392838;ENSP00000402126;ENSP00000409190;ENSP00000414624	1.177994503	0.140972023
Q14571;Q14571-2	Inositol 1,4,5-trisphosphate receptor type 2	ITPR2	ENSG00000123104	ENSP00000242737;ENSP00000370744;ENSP00000408287;ENSP00000440548	4.157634889	0.000575774
Q14677;Q14677-2;Q14677-3;H0YDU9;H0YD52	Clathrin interactor 1	CLINT1	ENSG00000113282	ENSP00000388340;ENSP00000429345;ENSP00000429824;ENSP00000431858;ENSP00000433013;ENSP00000433419;ENSP00000434334	0.201056452	0.739629235
Q14764;H3BQK6;H3BRL2;H3BUK7;H3BNF6;H3BP76;I3L155;H3BPZ2;H3BNF2;H3BUP3;H3BQE7	Major vault protein	MVP	ENSG00000013364	ENSP00000349977;ENSP00000378760;ENSP00000454819;ENSP00000454825;ENSP00000455186;ENSP00000455532;ENSP00000455741;ENSP00000455819;ENSP00000456291;ENSP00000457685;ENSP00000457734;ENSP00000458583;ENSP00000486166	3.342198363	0.002612476
Q14773-2;Q14773;Q14773-3	Intercellular adhesion molecule 4	ICAM4	ENSG00000105371	ENSP00000342114;ENSP00000370147;ENSP00000377320	4.816304835	0.000165827
Q15149-7;Q15149-8;Q15149-9;Q15149-5;Q15149-4;Q15149-6;Q15149-3;Q15149-2;Q15149;E9PIA2;E9PKG0;H0YDN1;E9PMV1;A0A075B730;A0A087X1U6;P58107	Plectin	PLEC	ENSG00000178209;ENSG00000261150	ENSP00000323856;ENSP00000344848;ENSP00000346602;ENSP00000347044;ENSP00000348702;ENSP00000350277;ENSP00000381756;ENSP00000388180;ENSP00000433557;ENSP00000433982;ENSP00000434490;ENSP00000434583;ENSP00000436702;ENSP00000437303;ENSP00000456124;ENSP00000484472	1.828261983	0.043337452
Q15582;H0Y8L3;S4R3C6;H0Y9D7	Transforming growth factor-beta-induced protein ig-h3	TGFBI	ENSG00000120708	ENSP00000416330;ENSP00000421440;ENSP00000421540;ENSP00000423871;ENSP00000423935;ENSP00000426589;ENSP00000427137;ENSP00000474155	3.481257169	0.002038125
Q15722;G3V4Q5	Leukotriene B4 receptor 1	LTB4R	ENSG00000213903	ENSP00000307445;ENSP00000380002;ENSP00000380008;ENSP00000450457;ENSP00000451929	2.216132114	0.021208372
Q15848	Adiponectin	ADIPOQ	ENSG00000181092	ENSP00000320709;ENSP00000389814	1.762240753	0.049277706
Q16254	Transcription factor E2F4	E2F4	ENSG00000205250	ENSP00000368686;ENSP00000454477;ENSP00000457239;ENSP00000458082;ENSP00000458706	3.021335244	0.004610912
Q16531-2;Q16531;F5GY55	DNA damage-binding protein 1	DDB1	ENSG00000167986	ENSP00000301764;ENSP00000399813;ENSP00000437713;ENSP00000439787;ENSP00000440269;ENSP00000440660;ENSP00000441522;ENSP00000441825;ENSP00000442660;ENSP00000442732;ENSP00000444105;ENSP00000444650;ENSP00000445554;ENSP00000445563;ENSP00000445844;ENSP00000446044	1.521411019	0.076987272
Q16585-2;Q16585	Beta-sarcoglycan	SGCB	ENSG00000163069	ENSP00000370839;ENSP00000421235;ENSP00000425818	4.172747103	0.000563771
Q16698-2;Q16698;E5RJG7;E5RFV2;E5RID6;E5RJD2;H0YAW3	2,4-dienoyl-CoA reductase, mitochondrial	DECR1	ENSG00000104325	ENSP00000220764;ENSP00000427936;ENSP00000428162;ENSP00000428533;ENSP00000428701;ENSP00000429096;ENSP00000429551;ENSP00000429779;ENSP00000430561;ENSP00000430759;ENSP00000431045	4.915901656	0.000135588
Q16762;B1AH48	Thiosulfate sulfurtransferase	TST	ENSG00000128311	ENSP00000249042;ENSP00000385828;ENSP00000400764;ENSP00000478739	7.118493729	2.72E-06
Q16891-2;Q16891;B9A067;Q16891-4;C9J406;Q16891-3;H7C463;A0A087WYS0;D6RAW4	MICOS complex subunit MIC60	IMMT	ENSG00000132305	ENSP00000254636;ENSP00000387227;ENSP00000387237;ENSP00000387262;ENSP00000396899;ENSP00000407788;ENSP00000415762;ENSP00000482042	6.751741477	5.12E-06
Q2TAL8	Glutamine-rich protein 1	QRICH1	ENSG00000198218	ENSP00000350094;ENSP00000378830;ENSP00000405505;ENSP00000412870;ENSP00000412890;ENSP00000413051;ENSP00000416133	0.597917671	0.390604745
Q32MZ4-3;Q32MZ4-2;Q32MZ4;Q32MZ4-4;C9JSU1;Q9Y608-2;Q9Y608-4	Leucine-rich repeat flightless-interacting protein 1	LRRFIP1	ENSG00000093167;ENSG00000124831	ENSP00000338727;ENSP00000346349;ENSP00000379705;ENSP00000391360;ENSP00000405480;ENSP00000409574;ENSP00000412206;ENSP00000413026;ENSP00000416013;ENSP00000416364;ENSP00000416907;ENSP00000244815;ENSP00000289175;ENSP00000310109;ENSP00000375857;ENSP00000409431	1.292846065	0.113842984
Q4KMP7;Q4KMP7-2;H3BSE1	TBC1 domain family member 10B	TBC1D10B	ENSG00000169221	ENSP00000386538;ENSP00000456663	0.021484013	0.973656866
Q53GL0;Q53GL0-2;Q5T4P9	Pleckstrin homology domain-containing family O member 1	PLEKHO1	ENSG00000023902	ENSP00000358120;ENSP00000358122	0.085852457	0.889504618
Q53GQ0;E9PI21;A0A1B0GVY6;A0A1B0GV93	Very-long-chain 3-oxoacyl-CoA reductase	HSD17B12	ENSG00000149084	ENSP00000278353;ENSP00000379052;ENSP00000436582	5.138850133	8.93E-05
Q53TS8-2;Q53TS8-3;Q53TS8;Q53TS8-4	Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 11 protein	ALS2CR11	ENSG00000155754	ENSP00000286195;ENSP00000399016;ENSP00000400672;ENSP00000409937	1.956691316	0.034451313
Q562R1	Beta-actin-like protein 2	ACTBL2	ENSG00000169067	ENSP00000416706	1.81284951	0.044475402
Q56NI9-2					1.928348802	0.036309321
Q58FF8	Putative heat shock protein HSP 90-beta 2	HSP90AB2P			2.33514366	0.016868083
Q5H907;Q5H909;Q9UNF1-2;Q9UNF1	Melanoma-associated antigen D2	MAGED2	ENSG00000102316	ENSP00000218439;ENSP00000336962;ENSP00000364193;ENSP00000364198;ENSP00000364200;ENSP00000364209;ENSP00000379526;ENSP00000486563	2.348579387	0.016393021
Q5JPT2;Q96B97-3;Q96B97-2;Q96B97	SH3 domain-containing kinase-binding protein 1	SH3KBP1	ENSG00000147010	ENSP00000369019;ENSP00000369020;ENSP00000369039;ENSP00000369049;ENSP00000380921;ENSP00000388766;ENSP00000409292	0.303325883	0.62808555
Q5JSP0-2;Q5JSP0-3;Q5JSP0	FYVE, RhoGEF and PH domain-containing protein 3	FGD3	ENSG00000127084	ENSP00000336914;ENSP00000364631;ENSP00000413833;ENSP00000432310	0.148348221	0.805092767
Q5QGZ9-4;Q5QGZ9;Q5QGZ9-1;Q5QGZ9-5	C-type lectin domain family 12 member A	CLEC12A	ENSG00000172322	ENSP00000302804;ENSP00000345448;ENSP00000347916;ENSP00000379764;ENSP00000405244	5.633233247	3.89E-05
Q5SZK5;Q92558	Wiskott-Aldrich syndrome protein family member 1	WASF1	ENSG00000112290	ENSP00000265601;ENSP00000352425;ENSP00000357934;ENSP00000376365;ENSP00000376366;ENSP00000376367;ENSP00000376368;ENSP00000402663;ENSP00000404142;ENSP00000407041	8.167577667	4.95E-07
Q5T3F8;Q5T3F8-2;Q5T3F8-3;H3BLW6;E9PNG1;H0YCP6	CSC1-like protein 2	TMEM63B	ENSG00000137216	ENSP00000259746;ENSP00000327154;ENSP00000360960;ENSP00000432085;ENSP00000433750;ENSP00000437163	2.833417522	0.006486273
Q5T4S7-3;Q5T4S7-4;Q5T4S7;Q5T4S7-2;X6R960;X6RE05;A0A0A0MSW0;Q5T4S7-5;Q5TBN9	E3 ubiquitin-protein ligase UBR4	UBR4	ENSG00000127481	ENSP00000364366;ENSP00000364372;ENSP00000364373;ENSP00000364403;ENSP00000395313;ENSP00000404897	5.555486753	4.32E-05
Q5T7F5;Q8N1G2	Cap-specific mRNA (nucleoside-2-O-)-methyltransferase 1	CMTR1	ENSG00000137200	ENSP00000362550;ENSP00000393893;ENSP00000414233;ENSP00000432114	5.679522318	3.59E-05
Q5TB53;Q9HD45	Transmembrane 9 superfamily member 3	TM9SF3	ENSG00000077147	ENSP00000360184;ENSP00000401152	6.721907802	5.31E-06
Q5W111-2;Q5W111	SPRY domain-containing protein 7	SPRYD7	ENSG00000123178	ENSP00000354774;ENSP00000367437;ENSP00000484495	0.218701233	0.717904305
Q68DH5	LMBR1 domain-containing protein 2	LMBRD2	ENSG00000164187	ENSP00000296603	5.665046526	3.68E-05
Q6EMK4	Vasorin	VASN	ENSG00000168140;ENSG00000274334	ENSP00000306864;ENSP00000481884	2.145658252	0.023848389
Q6IAA8;F5GX19;F5H3Y3;H0YFI1;F5H479	Ragulator complex protein LAMTOR1	LAMTOR1	ENSG00000149357	ENSP00000278671;ENSP00000438717;ENSP00000439011;ENSP00000439482;ENSP00000440738;ENSP00000445170	1.736953794	0.05189735
Q6NUQ1	RAD50-interacting protein 1	RINT1	ENSG00000135249	ENSP00000257700;ENSP00000417107;ENSP00000417954;ENSP00000418805;ENSP00000420582	1.965518595	0.033816044
Q6P0N0	Mis18-binding protein 1	MIS18BP1	ENSG00000129534	ENSP00000309790;ENSP00000397184;ENSP00000398902;ENSP00000402011;ENSP00000451783;ENSP00000487102	3.088286626	0.004139319
Q6PJW8-2;Q6PJW8	Consortin	CNST	ENSG00000162852	ENSP00000355468;ENSP00000355469;ENSP00000355470	2.64122474	0.009454369
Q6UX06	Olfactomedin-4	OLFM4	ENSG00000102837	ENSP00000219022	4.237907623	0.000501398
Q6UX27-2;Q6UX27;H7C340;G8JLN4;Q6UX27-3;A0A0G2JPS7;D2DJS5	V-set and transmembrane domain-containing protein 1	VSTM1	ENSG00000189068;ENSG00000274887;ENSG00000274953;ENSG00000275330;ENSG00000275577;ENSG00000275962;ENSG00000276066;ENSG00000276159;ENSG00000276363;ENSG00000277607;ENSG00000189068	ENSP00000343366;ENSP00000365813;ENSP00000401926;ENSP00000478582;ENSP00000479198;ENSP00000479748;ENSP00000480383;ENSP00000480533;ENSP00000480547;ENSP00000481140;ENSP00000481977;ENSP00000482197;ENSP00000482555;ENSP00000482985;ENSP00000483104;ENSP00000483411;ENSP00000483412;ENSP00000483797;ENSP00000484699;ENSP00000484806;ENSP00000484844;ENSP00000484886;ENSP00000409412;ENSP00000413006;ENSP00000444153	3.678345749	0.00144118
Q6UX71;Q6UX71-2	Plexin domain-containing protein 2	PLXDC2	ENSG00000120594	ENSP00000366450;ENSP00000366460	3.247825658	0.003109255
Q6UXB8;Q6UXB8-2	Peptidase inhibitor 16	PI16	ENSG00000164530	ENSP00000362778;ENSP00000478888	0.434375321	0.505878986
Q6YHK3;Q6YHK3-2;Q6YHK3-4;Q6YHK3-3	CD109 antigen	CD109	ENSG00000156535	ENSP00000287097;ENSP00000388062;ENSP00000404475	2.463076543	0.013254772
Q6ZNJ1;Q6ZNJ1-2;Q6ZNJ1-3;H0Y764;H7C408;H7C3Y7	Neurobeachin-like protein 2	NBEAL2	ENSG00000160796	ENSP00000409601;ENSP00000410405;ENSP00000414560;ENSP00000415034;ENSP00000415063	2.983522791	0.004925564
Q7Z3C6;Q7Z3C6-2;H7C152;Q7Z3C6-3;C9JS65;C9JFV2;F2Z3I6;C9JX27;C9JD65;C9IYZ9;C9JKV7;C9JDK4;C9JXG2;H7C1G6	Autophagy-related protein 9A	ATG9A	ENSG00000198925	ENSP00000355173;ENSP00000379983;ENSP00000386482;ENSP00000386535;ENSP00000386710;ENSP00000390704;ENSP00000393708;ENSP00000394345;ENSP00000396404;ENSP00000398425;ENSP00000398528;ENSP00000400234;ENSP00000401530;ENSP00000404750;ENSP00000406785;ENSP00000409164;ENSP00000413569;ENSP00000416435	3.905201755	0.000917088
Q7Z434;Q7Z434-4;Q7Z434-5;Q7Z434-2	Mitochondrial antiviral-signaling protein	MAVS	ENSG00000088888	ENSP00000401980;ENSP00000413749	2.5205659	0.011887816
Q7Z4F1;H0YHW7;Q7Z4F1-2	Low-density lipoprotein receptor-related protein 10	LRP10	ENSG00000197324	ENSP00000352601;ENSP00000447559;ENSP00000447977	4.344008999	0.000402297
Q7Z4W1	L-xylulose reductase	DCXR	ENSG00000169738	ENSP00000303356;ENSP00000462226;ENSP00000462272;ENSP00000462725;ENSP00000463354;ENSP00000464332;ENSP00000464507;ENSP00000464518	3.012157463	0.004672112
Q7Z6Z7-2;Q7Z6Z7-3;Q7Z6Z7;H0Y659	E3 ubiquitin-protein ligase HUWE1	HUWE1	ENSG00000086758	ENSP00000262854;ENSP00000340648;ENSP00000403236;ENSP00000413651;ENSP00000479451;ENSP00000483891;ENSP00000484417	2.141918649	0.024010653
Q86SX6	Glutaredoxin-related protein 5, mitochondrial	GLRX5	ENSG00000182512	ENSP00000328570;ENSP00000451800	3.817929725	0.001086026
Q86T03;Q86T03-2	Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase	TMEM55B	ENSG00000165782	ENSP00000250489;ENSP00000381102;ENSP00000451014;ENSP00000452508	4.638223455	0.000228895
Q86WV1;Q86WV1-2;J3KS83;J3QRG3;J3QKX8	Src kinase-associated phosphoprotein 1	SKAP1	ENSG00000141293	ENSP00000338171;ENSP00000462360;ENSP00000462437;ENSP00000463284;ENSP00000464198;ENSP00000464311;ENSP00000464509	2.213375126	0.021302625
Q86Y82;B1AJQ6	Syntaxin-12	STX12	ENSG00000117758	ENSP00000363054;ENSP00000392577	5.064576299	0.00010325
Q86YV0;Q86YV0-2;V9GYD1;M0QX12	RAS protein activator like-3	RASAL3	ENSG00000105122	ENSP00000341905;ENSP00000468841;ENSP00000476634	2.174144097	0.02259252
Q8IV04;E9PSB7;Q8IV04-2	Carabin	TBC1D10C	ENSG00000175463	ENSP00000310193;ENSP00000435543;ENSP00000435829;ENSP00000443654	4.542809059	0.000279326
Q8IX19;M0QYG6;M0R0S5	Mast cell-expressed membrane protein 1	MCEMP1	ENSG00000183019;ENSG00000269711	ENSP00000329920;ENSP00000471413;ENSP00000469811	8.037313297	5.97E-07
Q8IYJ3-2;Q8IYJ3;A0A087X1N4	Synaptotagmin-like protein 1	SYTL1	ENSG00000142765	ENSP00000316464;ENSP00000420110;ENSP00000440704;ENSP00000481032;ENSP00000484337	5.069989032	0.000102646
Q8N370-4;Q8N370-2;Q8N370;Q8N370-3	Large neutral amino acids transporter small subunit 4	SLC43A2	ENSG00000167703;ENSG00000278550	ENSP00000301335;ENSP00000371582;ENSP00000408284;ENSP00000461382;ENSP00000483848;ENSP00000484291	1.858066729	0.040988545
Q8N5K1;D6RCF4;I3L1N9	CDGSH iron-sulfur domain-containing protein 2	CISD2	ENSG00000145354	ENSP00000273986;ENSP00000423716;ENSP00000458976	7.798776135	9.65E-07
Q8N961-2;Q8N961	Ankyrin repeat and BTB/POZ domain-containing protein 2	ABTB2	ENSG00000166016	ENSP00000410157	2.404637026	0.014819295
Q8NBJ4-2;Q8NBJ4	Golgi membrane protein 1	GOLM1	ENSG00000135052	ENSP00000373363;ENSP00000373364;ENSP00000417504;ENSP00000418155;ENSP00000419076	0.178978872	0.766659199
Q8NBS9-2;Q8NBS9	Thioredoxin domain-containing protein 5	TXNDC5	ENSG00000239264	ENSP00000369081;ENSP00000420784	2.348421619	0.016393021
Q8NBX0	Saccharopine dehydrogenase-like oxidoreductase	SCCPDH	ENSG00000143653	ENSP00000355467	5.617477516	3.99E-05
Q8NCI6-2					5.899281528	2.42E-05
Q8NE71;Q8NE71-2;H0YGW7;A0A0G2JIC2	ATP-binding cassette sub-family F member 1	ABCF1	ENSG00000204574;ENSG00000206490;ENSG00000225989;ENSG00000231129;ENSG00000232169;ENSG00000236149;ENSG00000236342;ENSG00000204574	ENSP00000313603;ENSP00000365728;ENSP00000373081;ENSP00000373082;ENSP00000389065;ENSP00000389472;ENSP00000391102;ENSP00000393143;ENSP00000403526;ENSP00000404726;ENSP00000411327;ENSP00000412553;ENSP00000413319;ENSP00000414373;ENSP00000405512;ENSP00000440893;ENSP00000445100	3.462293406	0.00210061
